Station Name,Street Address,City,State,Access Type,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Network,Status,EV Connector Types,Facility Type,Access Days Time
EasyPark - 7th & G Garage,650 G St,Anchorage,AK,Public,0.0,1.0,0.0,Non-Networked,Available,J1772,PAY_GARAGE,Permit required 6am-5pm M-F; Open to the public 5pm-6am M-Sun
Anchorage Point S,4647 Old Seward Hwy,Anchorage,AK,Public,0.0,1.0,0.0,Non-Networked,Available,TESLA,OTHER,24 hours daily
Anchorage Museum,625 C St,Anchorage,AK,Private,0.0,1.0,0.0,Non-Networked,Available,J1772,MUSEUM,During museum operating hours; paid garage
"Chugiak, AK - Tesla Supercharger",22211 Birchwood Loop Road,Chugiak,AK,Public,0.0,0.0,8.0,Tesla,Available,J1772COMBO TESLA,GAS_STATION,24 hours daily. Please check Tesla's online station map to see if an adapter is required at this location.
Cordova Center - Lower,502 Railroad Ave,Cordova,AK,Public,0.0,2.0,0.0,Non-Networked,Available,J1772,MUNI_GOV,24 hours daily
ReCharge Alaska,Mile 214.5 Parks Hwy,Denali National Park and Preserve,AK,Public,0.0,0.0,1.0,Non-Networked,Available,CHADEMO J1772COMBO,NATL_PARK,24 hours daily; NACS adapter provided
Treadwell Ice Arena,105 Savikko Rd,Douglas,AK,Public,0.0,1.0,0.0,Non-Networked,Available,J1772,PARKING_LOT,24 hours daily
ReCharge Alaska - Subway,Mile 187 Glenn Hwy,Glennallen,AK,Public,0.0,0.0,1.0,Non-Networked,Available,CHADEMO J1772COMBO,PARKING_LOT,24 hours daily
Three Bears Healy,248.7 Parks Hwy,Healy,AK,Public,0.0,2.0,2.0,EVGATEWAY,Available,CHADEMO J1772 J1772COMBO,FUEL_RESELLER,24 hours daily
Art Shop Gallery,202 W Pioneer Ave,Homer,AK,Public,0.0,1.0,0.0,Non-Networked,Available,TESLA,OTHER_ENTERTAINMENT,24 hours daily
Alaska Electric Light & Power,5601 Tonsgard Ct,Juneau,AK,Public,0.0,2.0,0.0,Non-Networked,Available,J1772,UTILITY,24 hours daily
Marine Parking Garage,292 Marine Way,Juneau,AK,Public,0.0,2.0,0.0,Non-Networked,Available,J1772,PARKING_GARAGE,8am-10pm daily; paid lot
KTOO Public Media,360 Egan Dr,Juneau,AK,Public,0.0,1.0,0.0,Non-Networked,Available,J1772,OFFICE_BLDG,24 hours daily
Juneau Hydropower,8585 Old Dairy Hwy,Juneau,AK,Public,0.0,1.0,0.0,Non-Networked,Available,J1772,OFFICE_BLDG,24 hours daily
Mendenhall Valley Public Library,3025 Diamond Park Loop,Juneau,AK,Public,0.0,2.0,0.0,Non-Networked,Available,J1772,LIBRARY,24 hours daily
"Alaska State Library, Archives, and Museum",395 Whittier St,Juneau,AK,Public,0.0,2.0,0.0,Non-Networked,Available,J1772,LIBRARY,During seasonal museum hours
Downtown Transit Center,100 Main St,Juneau,AK,Public,0.0,0.0,1.0,Non-Networked,Available,CHADEMO,PAY_GARAGE,24 hours daily
Statter Harbor,11497 Auke Bay Harbor Rd,Juneau,AK,Public,0.0,1.0,0.0,Non-Networked,Available,J1772,PAY_LOT,24 hours daily
Alaskan Brewing Tap Room,5368 Commercial Blvd,Juneau,AK,Public,0.0,0.0,1.0,Non-Networked,Available,CHADEMO,BREWERY_DISTILLERY_WINERY,8am-8pm daily
Fred Meyer Juneau,8181 Glacier Hwy,Juneau,AK,Public,0.0,2.0,2.0,Non-Networked,Available,CHADEMO J1772,SHOPPING_CENTER,24 hours daily
University of Alaska Southeast,11066 Auke Lake Way,Juneau,AK,Public,0.0,2.0,0.0,Non-Networked,Available,J1772,COLLEGE_CAMPUS,24 hours daily
Rock Dump Indoor Climbing Gym,1310 Eastaugh Way,Juneau,AK,Public,0.0,1.0,0.0,Non-Networked,Available,J1772,REC_SPORTS_FACILITY,24 hours daily
Tongass National Forest,6000 Glacier Spur Rd,Juneau,AK,Private,0.0,1.0,0.0,Non-Networked,Available,J1772,FED_GOV,Not Specified
Avis Juneau,2104 Alex Holden Way,Juneau,AK,Public,0.0,2.0,0.0,TURNONGREEN,Available,J1772,FLEET_GARAGE,24 hours daily
Avis Juneau (Downtown),111 Mill St,Juneau,AK,Private,0.0,2.0,0.0,TURNONGREEN,Available,J1772,FLEET_GARAGE,24 hours daily
Homer Electric Association,280 Airport Way,Kenai,AK,Public,0.0,1.0,0.0,Non-Networked,Available,J1772,UTILITY,24 hours daily
Turkey Red,539 S Bailey St,Palmer,AK,Public,0.0,2.0,0.0,Non-Networked,Available,J1772 TESLA,RESTAURANT,24 hours daily
Alaska JCC,,Palmer,AK,Private,3.0,0.0,0.0,Non-Networked,Available,NEMA1450,FED_GOV,24 hours daily; Drivers must bring their own J1772 cordset for Level 1 charging
Exit Marine,1712 Alameda Rd,Seward,AK,Public,0.0,3.0,0.0,Non-Networked,Available,TESLA,OTHER,24 hours daily
Skagway - Animal Facility,State St,Skagway,AK,Public,0.0,5.0,0.0,Non-Networked,Available,J1772,MUNI_GOV,24 hours daily
Whistle Hill - Tesla Destination,43540  Whistle Hill Loop,Soldotna,AK,Public,0.0,2.0,0.0,Tesla Destination,Available,J1772 TESLA,RESTAURANT,Not Specified
Whistle Stop - Tesla Supercharger,43540 Kleeb Loop,Soldotna,AK,Public,0.0,0.0,4.0,Tesla,Available,TESLA,RESTAURANT,24 hours daily. Please check Tesla's online station map to see if an adapter is required at this location.
River City Books - Lucy's Market,338 Homestead Ln,Soldotna,AK,Public,0.0,1.0,0.0,Non-Networked,Available,J1772,GROCERY,24 hours daily
Three Bears - Sterling,33035 Sterling Hwy,Sterling,AK,Public,0.0,2.0,0.0,EVGATEWAY,Available,J1772,PARKING_LOT,24 hours daily
Denali Brewing Co,37083 Talkeetna Spur Rd,Talkeetna,AK,Public,0.0,1.0,1.0,Non-Networked,Available,CHADEMO J1772,BREWERY_DISTILLERY_WINERY,24 hours daily
Talkeetna Cabins,22137 C St,Talkeetna,AK,Public,0.0,1.0,0.0,Non-Networked,Available,TESLA,INN,24 hours daily
K2 Aviation,14052 E 2nd St,Talkeetna,AK,Public,0.0,1.0,0.0,Non-Networked,Available,TESLA,AIRPORT,24 hours daily
Talkeetna Historical Society,22248 D St,Talkeetna,AK,Public,0.0,1.0,0.0,Non-Networked,Available,J1772,MUSEUM,24 hours daily
